league,season,match_id,date,home_team,away_team,home_goals,away_goals,home_xG,away_xG,win_prob,draw_prob,away_win_prob
EPL,2023,22275,2023-08-11 19:00:00,Burnley,Manchester City,0,3,0.311032,2.40074,0.0177,0.0854,0.8969
EPL,2023,22276,2023-08-12 11:30:00,Arsenal,Nottingham Forest,2,1,0.84262,0.966305,0.2797,0.3363,0.384
EPL,2023,22277,2023-08-12 14:00:00,Bournemouth,West Ham,1,1,1.51025,1.4834,0.3559,0.3169,0.3272
EPL,2023,22278,2023-08-12 14:00:00,Brighton,Luton,4,1,4.36748,1.88594,0.879,0.0876,0.0334
EPL,2023,22279,2023-08-12 14:00:00,Everton,Fulham,0,1,2.59001,1.58144,0.6371,0.1989,0.164
EPL,2023,22280,2023-08-12 14:00:00,Sheffield United,Crystal Palace,0,1,0.422704,2.27616,0.0358,0.1179,0.8463
EPL,2023,22281,2023-08-12 16:30:00,Newcastle United,Aston Villa,5,1,4.32208,1.486,0.8987,0.0665,0.0348
EPL,2023,22282,2023-08-13 13:00:00,Brentford,Tottenham,2,2,1.90756,1.45316,0.4985,0.2608,0.2407
EPL,2023,22283,2023-08-13 15:30:00,Chelsea,Liverpool,1,1,1.93258,1.29994,0.5323,0.2472,0.2205
EPL,2023,22284,2023-08-14 19:00:00,Manchester United,Wolverhampton Wanderers,1,0,1.97087,1.72228,0.4419,0.2505,0.3076
EPL,2023,22285,2023-08-18 18:45:00,Nottingham Forest,Sheffield United,2,1,1.37181,0.551038,0.5965,0.2786,0.1249
EPL,2023,22286,2023-08-19 14:00:00,Wolverhampton Wanderers,Brighton,1,4,2.68821,3.15562,0.3046,0.2057,0.4897
EPL,2023,22287,2023-08-19 14:00:00,Fulham,Brentford,0,3,0.399899,3.46888,0.005,0.0284,0.9666
EPL,2023,22288,2023-08-19 14:00:00,Liverpool,Bournemouth,3,1,3.25448,1.3867,0.8032,0.1308,0.066
EPL,2023,22290,2023-08-19 16:30:00,Tottenham,Manchester United,2,0,2.53904,2.44604,0.4211,0.2102,0.3687
EPL,2023,22291,2023-08-19 19:00:00,Manchester City,Newcastle United,1,0,1.22528,0.257154,0.6449,0.2857,0.0694
EPL,2023,22292,2023-08-20 13:00:00,Aston Villa,Everton,4,0,3.24336,0.721465,0.9138,0.0655,0.0207
EPL,2023,22293,2023-08-20 15:30:00,West Ham,Chelsea,3,1,1.71234,1.60916,0.3947,0.2905,0.3148
EPL,2023,22294,2023-08-21 19:00:00,Crystal Palace,Arsenal,0,1,1.06916,2.20593,0.1279,0.1973,0.6748
EPL,2023,22295,2023-08-25 19:00:00,Chelsea,Luton,3,0,3.41419,0.465741,0.9422,0.0473,0.0105
